NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
ACAD.ST;ACADEMEDIA;50;120;58.8;142;64.6;192;57.8;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;8.7278
VIT-B.ST;VITEC SOFTWARE GROUP B;61.9;112;54.1;133;53.7;218;56.6;154;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VIT-B.ST;8.7164
SEZI.ST;SENZIME;50;115;50;114;54.7;275;51.6;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEZI.ST;8.6688
SKF-A.ST;SKF A;68.2;117;60;137;55.8;169;61.3;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKF-A.ST;8.6433
GPX.ST;GASPOROX;55.6;134;52.6;168;52.4;183;53.5;161;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST;8.6135
XACT-SMABOLAG.ST;XACT SVENSKA SMABOLAG UCITS ETF;78.6;108;66.7;119;64.5;144;69.9;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-SMABOLAG.ST;8.5977
OEM-B.ST;OEM INTERNATIONAL B;68.8;111;61.1;135;56.9;170;62.3;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OEM-B.ST;8.5974
AROC.ST;AROCELL;72.2;125;53.5;141;52;171;59.2;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;8.584
BULTEN.ST;BULTEN;46.7;106;68.6;149;58.7;190;58;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;8.584
KLED.ST;KUNGSLEDEN;73.3;104;66.7;124;63.8;151;67.9;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST;8.5554
AVEN.ST;AVENSIA;60;125;60.7;124;52.5;195;57.7;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;8.5396
TIEN.ST;TIETO;72.2;116;59.5;119;66.2;154;66;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TIEN.ST;8.514
SKF-B.ST;SKF B;71.4;125;55.9;134;56.4;156;61.2;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKF-B.ST;8.4456
CCC.ST;CAVOTEC;61.5;106;53.3;117;58.3;216;57.7;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;8.4242
ESSITY-B.ST;ESSITY;73.7;114;73.7;114;73.7;114;73.7;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST;8.4018
SCA-A.ST;SVENSKA CELLULOSA A;57.1;136;47.5;145;57.9;184;54.2;155;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-A.ST;8.401
SCA-B.ST;SVENSKA CELLULOSA B;63.2;129;62.2;145;55.4;144;60.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-B.ST;8.3817
MAHA-A.ST;MAHA ENERGY;45;122;59.4;149;60.9;186;55.1;152;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAHA-A.ST;8.3752
THULE.ST;THULE GROUP;70.6;116;61.3;122;59.7;155;63.9;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THULE.ST;8.3709
EAST.ST;EASTNINE;55.6;136;51.9;136;54.4;193;54;155;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;8.37
LUG.ST;LUNDIN GOLD;53.8;108;56.5;128;62.7;200;57.7;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUG.ST;8.3665
BONAV-A.ST;BONAVA A;77.8;116;60;121;58.1;149;65.3;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST;8.3584
INDU-A.ST;INDUSTRIVARDEN A;52.9;110;64.5;130;62.7;178;60;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-A.ST;8.34
AQ.ST;AROS QUALITY;57.1;106;63;119;59.5;194;59.9;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;8.3261
BACTI-B.ST;BACTIGUARD HOLD;50;110;50;148;56.1;224;52;160;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;8.32
ENERS.ST;ENERSIZE;71.4;112;68.8;121;68.8;121;69.7;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST;8.2246
ABB.ST;ABB LTD N;57.1;108;60;134;57.4;181;58.2;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;8.2062
SRNKE-B.ST;SERNEKE GROUP;65;120;57.5;140;59.5;147;60.7;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SRNKE-B.ST;8.1945
VEMF-SDB.ST;VOSTOK EMERGING FINANCE SDR;63.6;118;52;125;55.1;189;56.9;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VEMF-SDB.ST;8.1936
HOLM-B.ST;HOLMEN B;61.5;121;58.1;136;53.4;169;57.7;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-B.ST;8.1934
GREAT.ST;GREATER THAN;53.8;88;52;196;48.8;193;51.5;159;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GREAT.ST;8.1885
ENEA.ST;ENEA;60;105;63.6;120;62.5;173;62;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;8.184
REJL-B.ST;REJLERS B;52.4;106;57.1;148;56.1;190;55.2;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REJL-B.ST;8.1696
RTC.ST;RETHINKING CARE SWEDEN;72.7;108;59.3;139;59.3;139;63.8;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RTC.ST;8.1664
GHP.ST;GHP SPECIALTY CARE;56.2;110;46.7;126;51.6;240;51.5;158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;8.137
HPOL-B.ST;HEXPOL B;60;110;65.7;121;61.7;160;62.5;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HPOL-B.ST;8.125
LUPE.ST;LUNDIN PETROLEUM;64.7;123;59;113;57.7;168;60.5;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUPE.ST;8.107
SAND.ST;SANDVIK;71.4;121;54.8;115;53.3;171;59.8;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAND.ST;8.073
COMH.ST;COM HEM HOLDING;66.7;114;57.6;124;55.6;166;60;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST;8.04
HANZA.ST;HANZA HOLDING;73.3;122;52.9;111;52.2;174;59.5;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANZA.ST;8.0325
SEB-C.ST;SE BANKEN C;73.7;109;62.2;101;64.8;152;66.9;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-C.ST;8.028
ERIC-A.ST;ERICSSON A;58.8;111;68.6;128;65.2;136;64.2;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;8.025
KLOV-A.ST;KLOVERN A;60;103;65.6;134;54.3;162;60;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-A.ST;7.98
MCOV-B.ST;MEDICOVER;75;121;64.3;116;64.3;116;67.9;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCOV-B.ST;7.9443
XACT-BULL-2.ST;XACT BULL2 ETF;60;104;65.5;112;63.4;162;63;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL-2.ST;7.938
BALD-B.ST;FASTIGHETS BALDER B;66.7;114;60;123;56.2;153;61;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST;7.93
AF-B.ST;AF B;73.9;110;58.1;107;58.2;158;63.4;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;7.925
DUST.ST;DUSTIN GROUP;68.4;129;66.7;137;51.8;115;62.3;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;7.9121
ELAN-B.ST;ELANDERS B;52.9;107;56.4;119;54.7;207;54.7;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;7.8768
LATO-B.ST;LATOUR INVESTMENT B;60.9;115;53.8;126;57.5;170;57.4;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LATO-B.ST;7.8638
ATCO-A.ST;ATLAS COPCO A;66.7;119;57.1;119;53.5;161;59.1;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;7.8603
COLL.ST;COLLECTOR;72.2;122;53.8;102;56.6;164;60.9;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;7.8561
KAHL.ST;KAPPAHL;60;122;55.8;121;52.5;179;56.1;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAHL.ST;7.854
HOLM-A.ST;HOLMEN A;60;131;55.8;138;51.8;152;55.9;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-A.ST;7.826
NOKIA-SEK.ST;NOKIA;60;125;51.2;132;51.7;176;54.3;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOKIA-SEK.ST;7.8192
HEMF.ST;HEMFOSA FASTIGHETER AB;73.3;108;66.7;128;53.8;127;64.6;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF.ST;7.8166
NICKE.NGM;NICKEL MOUNTAIN RESOURCES;54.5;122;55.3;153;55.3;153;55;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICKE.NGM;7.81
INISS-B.ST;INISSION;54.5;117;51.3;137;51.9;191;52.6;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INISS-B.ST;7.7848
AGRO.ST;AGROMINO;50;98;50;123;54.1;234;51.4;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;7.7614
IVACC.ST;INTERVACC;66.7;113;61.1;128;61.1;128;63;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVACC.ST;7.749
SHB-A.ST;SVENSKA HANDELSBANKEN A;75;115;62.9;104;60.8;133;66.2;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-A.ST;7.7454
PRIC-B.ST;PRICER B;63.2;112;57.6;106;59.2;170;60;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIC-B.ST;7.74
FRNT-B.NGM;FRONTOFFICE NORDIC B;61.9;91;48.8;79;55.9;249;55.5;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;7.7145
ITAB-B.ST;ITAB SHOP CONCEPT;57.1;107;60.7;120;61.5;160;59.8;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ITAB-B.ST;7.7142
SDIP-B.ST;SDIPTECH;70;114;65.4;116;65.4;116;66.9;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-B.ST;7.6935
KLOV-PREF.ST;KLOVERN PREF CNV PRF;63.2;105;67.7;118;66.2;130;65.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-PREF.ST;7.6869
KINV-B.ST;KINNEVIK B;47.1;106;57.1;128;60.6;186;54.9;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-B.ST;7.686
RATO-B.ST;RATOS B;63.6;105;65.7;115;59.5;147;62.9;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-B.ST;7.6738
RESURS.ST;RESURS HOLDING;42.1;105;62.5;117;69.8;174;58.1;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RESURS.ST;7.6692
LLSW-B.ST;LIGHTLAB SWE B;55;143;55.9;171;48.6;120;53.2;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LLSW-B.ST;7.6608
TREL-B.ST;TRELLEBORG B;53.8;112;54.1;121;63.4;171;57.1;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TREL-B.ST;7.6514
TERRNT-B.ST;TERRANET HOLDING;53.8;157;50;146;50;146;51.3;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TERRNT-B.ST;7.6437
AAK.ST;AARHUSKARLSHAMN;56.5;122;55.8;126;58.7;156;57;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;7.638
REZT.ST;REZIDOR HOTEL GROUP;63.2;125;51.4;116;61;149;58.5;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REZT.ST;7.605
ATCO-B.ST;ATLAS COPCO B;64.7;104;58.5;123;55.7;156;59.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;7.5692
