NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
CONS-B.ST;CONSILIUM B;58.0;75.0;129;58.1;131;62.3;224;65.1;161;60.0;1.95;0.72;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST;11;803;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=803&marketid=11
COOR.ST;COOR SERVICE MANAGEMENT;67.0;58.8;120;65.8;153;59.5;230;61.4;167;65.8;2.67;0.9;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;11;110382;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110382&marketid=11
COPP-B.ST;COPPERSTONE RESOURCE;1.102;50.0;139;61.8;474;65.6;2079;59.1;897;64.5;11.8;3.36;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;11;38904;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;;;;;;;N/A;N/A;N/A
CORE-PREF.ST;COREM PROPERTY GROUP PRF;312.0;52.9;106;51.7;116;52.5;121;52.4;114;56.7;0.62;0.25;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;11;74282;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74282&marketid=11
CRAD-B.ST;C-RAD B;32.7;68.8;143;75.0;357;64.1;523;69.3;341;64.5;6.83;1.63;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;11;74313;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11
CRED-A.ST;CREADES A;331.5;65.0;122;71.1;171;66.7;248;67.6;180;79.3;2.9;2.46;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST;11;86903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86903&marketid=11
CRWN;CROWN ENERGY;3.07;78.6;111;64.5;219;57.4;268;66.8;199;57.6;3.86;0.87;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;N/A;N/A;N/A
CTM.ST;CATENA MEDIA;128.8;38.9;144;42.1;169;48.5;269;43.2;194;60.6;3.15;1.81;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;11;119018;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11
CTT.ST;CTT SYSTEMS;152.8;66.7;133;66.7;158;65.2;569;66.2;286;71.9;5.79;3.31;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;11;3081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11
CYXO.ST;CYXONE;10.46;54.2;146;47.6;189;50.0;236;50.6;190;39.3;3.26;-0.21;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST;11;123240;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123240&marketid=11
DCAR-B.ST;D CARNEGIE & CO B;126.6;73.3;108;79.3;128;79.2;213;77.3;149;80.8;3.44;1.13;26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;11;100378;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100378&marketid=11
DDM.ST;DDM HOLDING;48.5;52.6;110;51.4;139;51.3;152;51.8;133;57.9;2.08;1.52;19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;11;102079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102079&marketid=11
DEDI.ST;DEDICARE AB;75.7;66.7;159;65.8;193;60.3;664;64.3;338;71.1;5.12;1.31;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;11;81878;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81878&marketid=11
DEFL-B.ST;DEFLAMO B;0.128;73.3;755;70.8;533;61.2;454;68.4;580;39.1;4.39;-1.2;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEFL-B.ST;11;60687;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60687&marketid=11
DELARK.ST;DELARKA HOLDING;111.0;27.3;88;31.8;81;34.2;79;31.1;82;32.4;-0.06;-0.32;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DELARK.ST;11;98836;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98836&marketid=11
